Location,Cross_Street,Latitude,Longitude,Date_Reported,Date_Occurred,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Modus_Operandi,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Premise_Description,Weapon_Used_Code,Weapon_Description,Status,Status_Description,Crime_Category
4500    CARPENTER                    AV,,34.1522,-118.391,3/9/2020 0:00,3/6/2020 0:00,1800,15,N Hollywood,1563,1,385,75,M,W,101,STREET,,,IC,Invest Cont,Property Crimes
45TH                         ST,ALAMEDA                      ST,34.0028,-118.2391,2/27/2020 0:00,2/27/2020 0:00,1345,13,Newton,1367,1,0906 0352 0371 0446 1822 0344 0416 0417,41,M,H,216,SWAP MEET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Property Crimes
600 E  MARTIN LUTHER KING JR        BL,,34.0111,-118.2653,8/21/2020 0:00,8/21/2020 0:00,605,13,Newton,1343,2,0329 1202,67,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
14900    ORO GRANDE                   ST,,34.2953,-118.459,11/8/2020 0:00,11/6/2020 0:00,1800,19,Mission,1924,1,0329 1300,61,M,H,101,STREET,,,IC,Invest Cont,Property Crimes
7100 S  VERMONT                      AV,,33.9787,-118.2918,2/25/2020 0:00,2/25/2020 0:00,1130,12,77th Street,1245,1,0416 0945 1822 0400 0417 0344,0,X,X,401,MINI-MART,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Property Crimes
300 N  AVENUE 57,,34.1127,-118.1942,1/10/2020 0:00,1/10/2020 0:00,256,11,Northeast,1118,2,0446 0416,50,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
1600 N  SOTO                         ST,,34.0623,-118.198,8/17/2020 0:00,8/17/2020 0:00,1840,4,Hollenbeck,448,1,325,0,X,X,202,LIQUOR STORE,,,IC,Invest Cont,Property Crimes
12600    BRADDOCK                     DR,,33.9864,-118.4239,10/7/2021 0:00,3/19/2020 0:00,1100,14,Pacific,1455,1,1606 0344,68,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Property Crimes
5500    COLDWATER CA                 AV,,34.1781,-118.4179,1/28/2020 0:00,1/26/2020 0:00,1600,9,Van Nuys,939,1,,0,,,104,DRIVEWAY,,,IC,Invest Cont,Property Crimes
11500    AVIATION                     BL,,33.9298,-118.3784,7/7/2020 0:00,7/7/2020 0:00,445,14,Pacific,1499,2,0329 1300 1402,22,F,H,108,PARKING LOT,,,AA,Adult Arrest,Property Crimes
MASON                        AV,LASSEN                       ST,34.2536,-118.5913,1/21/2020 0:00,1/7/2020 0:00,1200,17,Devonshire,1752,2,1501 0513 0514 0913 1814,22,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,Other Crimes
5800    BONSALLO                     AV,,33.9875,-118.286,6/11/2020 0:00,6/11/2020 0:00,1430,12,77th Street,1239,1,1822 0319 0400 0416 0429 0417 0342,22,M,H,121,YARD (RESIDENTIAL/BUSINESS),511,VERBAL THREAT,IC,Invest Cont,Violent Crimes
100    THE GROVE                    DR,,34.0761,-118.3563,2/3/2020 0:00,2/3/2020 0:00,500,7,Wilshire,724,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
AFTON,CAHUENGA,34.0944,-118.3277,2/22/2020 0:00,2/22/2020 0:00,215,6,Hollywood,666,1,0334 2004,50,M,W,102,SIDEWALK,207,OTHER KNIFE,IC,Invest Cont,Crimes against Public Order
1600 S  GRAND                        AV,,33.7293,-118.2902,11/8/2020 0:00,11/8/2020 0:00,920,5,Harbor,563,1,0329 1100 1407 0399 1822,31,M,H,501,SINGLE FAMILY DWELLING,102,HAND GUN,IC,Invest Cont,Crimes against Public Order
3000    JOHNSTON                     ST,,34.0805,-118.2087,7/31/2020 0:00,7/31/2020 0:00,1700,4,Hollenbeck,414,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
23100    SHERMAN                      WY,,34.1998,-118.63,8/17/2020 0:00,8/17/2020 0:00,1315,21,Topanga,2133,1,1420 0344,46,F,O,203,OTHER BUSINESS,,,IC,Invest Cont,Property Crimes
2800    WESTSHIRE                    DR,,34.1214,-118.3203,9/8/2020 0:00,9/8/2020 0:00,1630,6,Hollywood,627,2,0347 1822,31,M,W,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,Crimes against Public Order
3200    GRAND VIEW                   BL,,34.015,-118.4389,6/25/2020 0:00,3/12/2020 0:00,1400,14,Pacific,1424,1,,72,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,Property Crimes
700 W  OLYMPIC                      BL,,34.0444,-118.2628,9/11/2020 0:00,9/11/2020 0:00,105,1,Central,182,2,1822 1414 1251 0448,22,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
7900    KESTER                       AV,,34.2147,-118.4565,3/23/2020 0:00,3/20/2020 0:00,1530,19,Mission,1994,2,329,26,F,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,Property Crimes
CHEROKEE,SUNSET,34.098,-118.3353,2/12/2021 0:00,2/12/2020 0:00,2030,6,Hollywood,646,1,0400 0344,38,M,H,101,STREET,,,IC,Invest Cont,Property Crimes
16700 W  VENTURA                      BL,,34.1613,-118.4917,6/26/2020 0:00,6/26/2020 0:00,1300,10,West Valley,1078,1,,0,,,707,GARAGE/CARPORT,,,IC,Invest Cont,Property Crimes
2700 W  8TH                          ST,,34.0598,-118.2865,7/26/2020 0:00,7/25/2020 0:00,2300,20,Olympic,2039,1,,0,,,503,HOTEL,,,IC,Invest Cont,Property Crimes
